Entidad_Federativa,Población_Total_2020,Porcentaje
Aguascalientes,1425607,1.1
Baja California,3769020,3
Baja California Sur,798447,0.6
Campeche,928363,0.7
Chiapas,5543828,4.4
Chihuahua,3741869,3
Ciudad de México,9209944,7.3
Coahuila de Zaragoza,3146771,2.5
Colima,731391,0.6
Durango,1832650,1.5
Estado de México,16992418,13.5
Guanajuato,6166934,4.9
Guerrero,3540685,2.8
Hidalgo,3082841,2.4
Jalisco,8348151,6.6
Michoacán de Ocampo,4748846,3.8
Morelos,1971520,1.6
Nayarit,1235456,1
Nuevo León,5784442,4.6
Oaxaca,4132148,3.3
Puebla,6583278,5.2
Querétaro,2368467,1.9
Quintana Roo,1857985,1.5
San Luis Potosí,2822255,2.2
Sinaloa,3026943,2.4
Sonora,2944840,2.3
Tabasco,2402598,1.9
Tamaulipas,3527735,2.8
Tlaxcala,1342977,1.1
Veracruz de Ignacio de la Llave,8062579,6.4
Yucatán,2320898,1.8
Zacatecas,1622138,1.3
